epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8656812906265259,0.43490904569625854,0.001,0.7177097201347351,0.7742172479629517
1,0.924802303314209,0.24394848942756653,0.001,0.8162450194358826,0.5628567337989807
2,0.9426941275596619,0.18455079197883606,0.001,0.842876136302948,0.44798383116722107
3,0.9494360089302063,0.1609480232000351,0.001,0.8974700570106506,0.30190107226371765
4,0.9569557905197144,0.13557001948356628,0.001,0.7762982845306396,0.602734386920929
5,0.9630494117736816,0.120204396545887,0.001,0.7270306348800659,0.9375498294830322
6,0.9624011516571045,0.11741238832473755,0.001,0.8708388805389404,0.48701605200767517
7,0.9712174534797668,0.09919058531522751,0.001,0.8881491422653198,0.3815782368183136
8,0.9735511541366577,0.08356351405382156,0.001,0.8868175745010376,0.3571813106536865
9,0.9824970960617065,0.05560269579291344,0.0005,0.9280958771705627,0.22495229542255402
10,0.9865162968635559,0.0442451536655426,0.0005,0.9054594039916992,0.32847145199775696
11,0.9857383370399475,0.04816234111785889,0.0005,0.9334220886230469,0.2036234736442566
12,0.9884610176086426,0.03585698455572128,0.0005,0.9201065301895142,0.2505080997943878
13,0.9867755770683289,0.0422600582242012,0.0005,0.904127836227417,0.30300766229629517
14,0.9888499975204468,0.03349461033940315,0.0005,0.8881491422653198,0.4191400706768036
15,0.9898871779441833,0.030248651280999184,0.0005,0.9241011738777161,0.2707032859325409
16,0.9888499975204468,0.03417409956455231,0.0005,0.9027962684631348,0.4417951703071594
17,0.9937767386436462,0.019931122660636902,0.00025,0.9227696657180786,0.2505096197128296
18,0.9944249987602234,0.01782330498099327,0.00025,0.8961384892463684,0.34906283020973206
19,0.9953325390815735,0.015298506245017052,0.00025,0.9280958771705627,0.2667580246925354
20,0.9964994192123413,0.012738507241010666,0.00025,0.9307590126991272,0.2295057773590088
21,0.9955918788909912,0.01480628177523613,0.00025,0.9134487509727478,0.3222987949848175
