epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8236361145973206,0.0010000000474974513,0.48820337653160095,0.8008449077606201,0.6443803310394287
1,0.9288133382797241,0.0010000000474974513,0.2126748412847519,0.9348219633102417,0.19617578387260437
2,0.9554554224014282,0.0010000000474974513,0.13698582351207733,0.8919734358787537,0.36249983310699463
3,0.9678541421890259,0.0010000000474974513,0.09971849620342255,0.9312009811401367,0.227255180478096
4,0.9683984518051147,0.0010000000474974513,0.10003086924552917,0.9547374844551086,0.15077847242355347
5,0.9709991812705994,0.0010000000474974513,0.09324593096971512,0.9474954605102539,0.18793803453445435
6,0.9396092891693115,0.0010000000474974513,0.17589686810970306,0.9263729453086853,0.23328948020935059
7,0.9619874358177185,0.0010000000474974513,0.1179473027586937,0.4351237118244171,1.0416300296783447
8,0.9534595608711243,0.0010000000474974513,0.13768193125724792,0.9366324543952942,0.20509687066078186
9,0.9809483289718628,0.0010000000474974513,0.05819050967693329,0.9547374844551086,0.1577879637479782
10,0.9890831112861633,0.0005000000237487257,0.03545152023434639,0.9698249697685242,0.14235006272792816
11,0.9903229475021362,0.0005000000237487257,0.0318104587495327,0.9716354608535767,0.11631736159324646
12,0.9886597394943237,0.0005000000237487257,0.03573594242334366,0.9674109816551208,0.12575627863407135
13,0.991593062877655,0.0005000000237487257,0.0252495389431715,0.9722389578819275,0.11488085985183716
14,0.9937704205513,0.0005000000237487257,0.020420866087079048,0.9662039875984192,0.15751704573631287
15,0.9932563304901123,0.0005000000237487257,0.021840516477823257,0.9662039875984192,0.1514221578836441
16,0.995010256767273,0.0005000000237487257,0.017176814377307892,0.9728425145149231,0.13868547976016998
17,0.9934377670288086,0.0005000000237487257,0.021283239126205444,0.9740495085716248,0.12308883666992188
18,0.9934982657432556,0.0005000000237487257,0.021271010860800743,0.9686179757118225,0.15489277243614197
19,0.9959779977798462,0.0002500000118743628,0.013209781609475613,0.9728425145149231,0.1433817446231842
20,0.9965828061103821,0.0002500000118743628,0.011845157481729984,0.9752565026283264,0.14461666345596313
21,0.997127115726471,0.0002500000118743628,0.009180714376270771,0.9728425145149231,0.1530422866344452
22,0.9973992705345154,0.0002500000118743628,0.00908831600099802,0.9740495085716248,0.15235497057437897
23,0.9976109862327576,0.0002500000118743628,0.008415679447352886,0.9770669937133789,0.14600692689418793
