epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6013713479042053,1.2534548044204712,0.001,0.30051812529563904,2.008551836013794
1,0.6668636798858643,1.2675042152404785,0.001,0.7098445892333984,0.9455001354217529
2,0.8013949394226074,0.6615552306175232,0.001,0.712435245513916,0.8456084132194519
3,0.8369783759117126,0.546940267086029,0.001,0.7927461266517639,0.7158939838409424
4,0.8727982044219971,0.42940816283226013,0.001,0.7668393850326538,0.8030220866203308
5,0.8670055270195007,0.4758533835411072,0.001,0.7823834419250488,0.8310688138008118
6,0.9112188220024109,0.2852112352848053,0.001,0.8419688940048218,0.561082661151886
7,0.9079087376594543,0.3101347088813782,0.001,0.8834196925163269,0.41972386837005615
8,0.9239863157272339,0.2327723205089569,0.001,0.8238341808319092,0.7194287180900574
9,0.9285967350006104,0.22907289862632751,0.001,0.8108808398246765,0.7392863035202026
10,0.9297789335250854,0.21064521372318268,0.001,0.712435245513916,1.2828210592269897
11,0.9307246804237366,0.23350217938423157,0.001,0.8393782377243042,0.5157460570335388
12,0.954249918460846,0.1390417367219925,0.001,0.7953367829322815,0.8456727862358093
