epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9010846614837646,0.2913399338722229,0.001,0.8680047392845154,0.41658926010131836
1,0.966468095779419,0.11118341237306595,0.001,0.7180637717247009,0.9557844400405884
2,0.9775944352149963,0.07333669066429138,0.001,0.9296339750289917,0.23934105038642883
3,0.9807770848274231,0.06210079416632652,0.001,0.9151121377944946,0.31212541460990906
4,0.9841887950897217,0.05359991267323494,0.001,0.9243211150169373,0.24915124475955963
5,0.9856401085853577,0.04743674397468567,0.001,0.9175915122032166,0.3051134943962097
6,0.9896374344825745,0.03499176353216171,0.001,0.9306965470314026,0.31645986437797546
7,0.9897392988204956,0.03602693974971771,0.001,0.9066115617752075,0.33468446135520935
8,0.9949842095375061,0.018199529498815536,0.0005,0.9397875070571899,0.2681313753128052
9,0.9967664480209351,0.01284818910062313,0.0005,0.9390791058540344,0.2918044626712799
10,0.9965118765830994,0.011904890649020672,0.0005,0.9412042498588562,0.2928681969642639
11,0.9957480430603027,0.014760024845600128,0.0005,0.9455726146697998,0.2554659843444824
12,0.996740996837616,0.011324851773679256,0.0005,0.9425029754638672,0.28316518664360046
