epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.32004064321517944,1.5655659437179565,0.001,0.23056994378566742,1.5546212196350098
1,0.35509270429611206,1.5155755281448364,0.001,0.21761657297611237,1.5962941646575928
2,0.4333248734474182,1.4680359363555908,0.001,0.37046632170677185,1.4449986219406128
3,0.47269493341445923,1.3455606698989868,0.001,0.2927461266517639,1.3871397972106934
4,0.5666751265525818,1.176474690437317,0.001,0.37046632170677185,1.2786141633987427
5,0.5880112051963806,1.0988564491271973,0.001,0.35233160853385925,1.2700639963150024
6,0.6179832220077515,1.016823649406433,0.001,0.3834196925163269,1.2239015102386475
7,0.6908813714981079,0.9293031692504883,0.001,0.6502590775489807,0.9870256185531616
8,0.7762255668640137,0.7980894446372986,0.001,0.6761658191680908,0.9412611126899719
9,0.7912116050720215,0.7450135946273804,0.001,0.6709844470024109,0.8489335775375366
10,0.8392176628112793,0.607392430305481,0.001,0.6761658191680908,0.885137140750885
11,0.8524256944656372,0.5632894039154053,0.001,0.727979302406311,0.665645956993103
12,0.8669037222862244,0.4979991912841797,0.001,0.7409326434135437,0.6976590156555176
13,0.8813817501068115,0.453827440738678,0.001,0.8393782377243042,0.4863598346710205
14,0.9029718041419983,0.3732871413230896,0.001,0.8471502661705017,0.44314900040626526
15,0.9123698472976685,0.36699962615966797,0.001,0.8730570077896118,0.3973027765750885
16,0.9309118390083313,0.26235076785087585,0.001,0.8911917209625244,0.38899263739585876
17,0.9436118602752686,0.23850367963314056,0.001,0.909326434135437,0.28103986382484436
18,0.947675883769989,0.19513893127441406,0.001,0.8626943230628967,0.41969361901283264
19,0.9618999361991882,0.1767762303352356,0.001,0.878238320350647,0.4601593315601349
20,0.954279899597168,0.17342597246170044,0.001,0.909326434135437,0.33823198080062866
21,0.9674879312515259,0.12045151740312576,0.001,0.9041450619697571,0.41956743597984314
22,0.9718059301376343,0.1240106076002121,0.001,0.8808290362358093,0.46402257680892944
23,0.9776479601860046,0.10221894085407257,0.0005,0.8989637494087219,0.35998499393463135
24,0.9875539541244507,0.05669620260596275,0.0005,0.9274611473083496,0.3244754672050476
25,0.9888239502906799,0.05300246924161911,0.0005,0.924870491027832,0.34971392154693604
26,0.9903479814529419,0.04548623412847519,0.0005,0.8989637494087219,0.4465160369873047
27,0.9931420087814331,0.0337630994617939,0.0005,0.9041450619697571,0.400547057390213
