epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7472695112228394,0.9038720726966858,0.001,0.6917098164558411,1.0895787477493286
1,0.85090172290802,0.5993239879608154,0.001,0.8264248967170715,0.6236200332641602
2,0.8887477517127991,0.45281854271888733,0.001,0.8678756356239319,0.3956374228000641
3,0.903479814529419,0.36769038438796997,0.001,0.7927461266517639,0.5082929730415344
4,0.9210058450698853,0.31912440061569214,0.001,0.7331606149673462,0.5990058779716492
5,0.9385318756103516,0.2512156069278717,0.001,0.7694300413131714,0.6211719512939453
6,0.9405638575553894,0.2370728701353073,0.001,0.8963730335235596,0.2626795470714569
7,0.9458978772163391,0.20185166597366333,0.001,0.6113989353179932,1.2492238283157349
8,0.9504699110984802,0.19168619811534882,0.001,0.9041450619697571,0.2849300503730774
9,0.9558039307594299,0.16664165258407593,0.001,0.787564754486084,0.5904307961463928
10,0.9639319181442261,0.148715540766716,0.001,0.6580311059951782,1.308726191520691
11,0.9641859531402588,0.14572131633758545,0.001,0.5932642221450806,1.4617066383361816
12,0.9784099459648132,0.0772581398487091,0.0005,0.8911917209625244,0.33947357535362244
13,0.9748539328575134,0.08160824328660965,0.0005,0.9352331757545471,0.19043731689453125
14,0.976885974407196,0.0742446780204773,0.0005,0.9326424598693848,0.1996256560087204
15,0.9796799421310425,0.07102589309215546,0.0005,0.7901554107666016,0.763403594493866
16,0.9829819798469543,0.06680145114660263,0.0005,0.9378238320350647,0.2022790014743805
17,0.9857759475708008,0.057231392711400986,0.0005,0.9352331757545471,0.1996631771326065
18,0.9867919683456421,0.050064969807863235,0.0005,0.9274611473083496,0.20990903675556183
19,0.9916179776191711,0.03906114399433136,0.00025,0.893782377243042,0.28853103518486023
20,0.995173990726471,0.028068959712982178,0.00025,0.9326424598693848,0.23746168613433838
21,0.9931420087814331,0.026920350268483162,0.00025,0.9015544056892395,0.29254600405693054
22,0.9921259880065918,0.02575167641043663,0.00025,0.9326424598693848,0.19579491019248962
23,0.994920015335083,0.02029934898018837,0.00025,0.924870491027832,0.2196754664182663
