epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.22981439530849457,2.4507062435150146,0.001,0.2409326434135437,1.6767102479934692
1,0.24553729593753815,2.3346939086914062,0.001,0.24352331459522247,1.5763628482818604
2,0.33845609426498413,2.068023681640625,0.001,0.31865283846855164,4.310234546661377
3,0.30606454610824585,2.2546675205230713,0.001,0.2746114134788513,2.145890235900879
4,0.4494621157646179,1.5223287343978882,0.001,0.5854922533035278,1.1364960670471191
5,0.5947511792182922,1.0590587854385376,0.001,0.6891191601753235,0.8167268633842468
6,0.7406312823295593,0.7222835421562195,0.001,0.7564767003059387,0.6716347336769104
7,0.835677981376648,0.49445515871047974,0.001,0.7487046718597412,0.7631232738494873
8,0.8761082887649536,0.4240225553512573,0.001,0.8367875814437866,0.5010733008384705
9,0.9339165091514587,0.22380828857421875,0.001,0.8445596098899841,0.6476621031761169
10,0.9340347647666931,0.22867190837860107,0.001,0.8730570077896118,0.48438313603401184
11,0.9624069333076477,0.13097579777240753,0.001,0.8756476640701294,0.5394212007522583
12,0.9776569604873657,0.0733981654047966,0.001,0.8756476640701294,0.5636259913444519
13,0.976356565952301,0.07491905242204666,0.001,0.9067357778549194,0.48275864124298096
14,0.9886511564254761,0.04037731885910034,0.001,0.9041450619697571,0.4567907452583313
15,0.9780116081237793,0.07675930857658386,0.001,0.8911917209625244,0.5331206917762756
16,0.9848681688308716,0.05866739898920059,0.001,0.8730570077896118,0.6622645854949951
17,0.9666627049446106,0.14660502970218658,0.001,0.8834196925163269,0.48273155093193054
18,0.9917247891426086,0.03320063650608063,0.001,0.8886010646820068,0.5442425608634949
19,0.9957441687583923,0.015558608807623386,0.001,0.893782377243042,0.5444565415382385
20,0.994325578212738,0.019950570538640022,0.0005,0.9067357778549194,0.4788009822368622
21,0.9976356625556946,0.010406961664557457,0.0005,0.909326434135437,0.5434749126434326
22,0.997044563293457,0.009639539755880833,0.0005,0.9119170904159546,0.5588700771331787
23,0.9984631538391113,0.0074545349925756454,0.0005,0.909326434135437,0.5294867753982544
24,0.9983449578285217,0.0062257712706923485,0.0005,0.9067357778549194,0.6122052073478699
