epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5298450589179993,1.3690156936645508,0.001,0.48704662919044495,1.2892944812774658
1,0.7518414855003357,0.9007403254508972,0.001,0.6632124185562134,0.8756895065307617
2,0.7962915897369385,0.7277241945266724,0.001,0.6165803074836731,0.9436290264129639
3,0.8321056365966797,0.6713027954101562,0.001,0.7564767003059387,0.676181435585022
4,0.8666497468948364,0.530211865901947,0.001,0.409326434135437,1.4948595762252808
5,0.8844297528266907,0.5189473628997803,0.001,0.8471502661705017,0.47631022334098816
6,0.9243078231811523,0.3743287920951843,0.001,0.8601036071777344,0.38042253255844116
7,0.9278638362884521,0.3199741542339325,0.001,0.772020697593689,0.5653220415115356
8,0.9334518909454346,0.31846344470977783,0.001,0.8082901835441589,0.57671058177948
9,0.9438658952713013,0.27171841263771057,0.001,0.8834196925163269,0.3416420817375183
10,0.9484378695487976,0.24968722462654114,0.001,0.8652849793434143,0.408797025680542
11,0.9575819373130798,0.2014814168214798,0.001,0.9170984625816345,0.2744762897491455
12,0.9639319181442261,0.18531280755996704,0.001,0.9300518035888672,0.24802376329898834
13,0.9761239290237427,0.1290489286184311,0.001,0.9145077466964722,0.2730936110019684
14,0.9410718679428101,0.25191542506217957,0.001,0.8911917209625244,0.36547744274139404
15,0.9692659378051758,0.12998753786087036,0.001,0.9481865167617798,0.19933955371379852
16,0.9649479389190674,0.14830908179283142,0.001,0.9507771730422974,0.21967914700508118
17,0.9398018717765808,0.2090788632631302,0.001,0.9196891188621521,0.25823166966438293
18,0.9738379716873169,0.12282586842775345,0.001,0.9326424598693848,0.2325238287448883
19,0.9685039520263672,0.14394401013851166,0.001,0.9170984625816345,0.30890053510665894
20,0.9799339771270752,0.09728462994098663,0.001,0.9404144883155823,0.22934959828853607
21,0.9845059514045715,0.07217815518379211,0.0005,0.9378238320350647,0.2595129907131195
22,0.993395984172821,0.05059442296624184,0.0005,0.9507771730422974,0.22369201481342316
23,0.9956820011138916,0.029820432886481285,0.0005,0.9533678889274597,0.2158094346523285
24,0.9916179776191711,0.04809770733118057,0.0005,0.9559585452079773,0.22978925704956055
25,0.9961900115013123,0.029115427285432816,0.0005,0.9455958604812622,0.21637924015522003
