epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9318978786468506,0.0010000000474974513,0.20399704575538635,0.8533494472503662,0.3640863001346588
1,0.9729648232460022,0.0010000000474974513,0.08525016903877258,0.9420639872550964,0.19181914627552032
2,0.9788919687271118,0.0010000000474974513,0.06208963319659233,0.8750754594802856,0.340203195810318
3,0.985333263874054,0.0010000000474974513,0.04657677933573723,0.8925769329071045,0.3358518183231354
4,0.9865126609802246,0.0010000000474974513,0.040694862604141235,0.9462884664535522,0.1788330376148224
5,0.9889621138572693,0.0010000000474974513,0.03491578623652458,0.9378394484519958,0.23045486211776733
6,0.990262508392334,0.0010000000474974513,0.029857037588953972,0.9710319638252258,0.13683642446994781
7,0.9914721250534058,0.0010000000474974513,0.026319162920117378,0.923958957195282,0.35087642073631287
8,0.9916233420372009,0.0010000000474974513,0.02613370679318905,0.927579939365387,0.3078534007072449
9,0.9918954968452454,0.0010000000474974513,0.023976260796189308,0.9613759517669678,0.1626768857240677
10,0.9932865500450134,0.0010000000474974513,0.02075999043881893,0.8992154598236084,0.4778535068035126
11,0.9941937923431396,0.0010000000474974513,0.016909455880522728,0.8660229444503784,0.8603968620300293
12,0.9975202679634094,0.0005000000237487257,0.008154393173754215,0.9619795083999634,0.21650463342666626
13,0.9982157945632935,0.0005000000237487257,0.006145122926682234,0.9698249697685242,0.18823771178722382
14,0.9979134202003479,0.0005000000237487257,0.006129360757768154,0.9517199993133545,0.2589420974254608
15,0.9975202679634094,0.0005000000237487257,0.007896737195551395,0.9643934965133667,0.24597017467021942
16,0.9978529214859009,0.0005000000237487257,0.0060740187764167786,0.9752565026283264,0.16669896245002747
