epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.812913179397583,0.5215111374855042,0.001,0.9317343235015869,0.20609520375728607
1,0.9096816778182983,0.26259976625442505,0.001,0.9443419575691223,0.18250508606433868
2,0.9280027151107788,0.21359580755233765,0.001,0.9428044557571411,0.18564827740192413
3,0.9377503395080566,0.18498356640338898,0.001,0.9529520273208618,0.16282206773757935
4,0.9439592361450195,0.16712431609630585,0.001,0.9587945938110352,0.15157829225063324
5,0.9489938616752625,0.1511264145374298,0.001,0.9581795930862427,0.14797057211399078
6,0.9532725214958191,0.13716886937618256,0.001,0.9504920244216919,0.16303274035453796
7,0.955974817276001,0.13117580115795135,0.001,0.9492619633674622,0.17780083417892456
8,0.9585002064704895,0.1234750971198082,0.001,0.9594095945358276,0.1295391470193863
9,0.9606234431266785,0.11756875365972519,0.001,0.9627920985221863,0.13349013030529022
10,0.9638243913650513,0.1082802414894104,0.001,0.9594095945358276,0.14830204844474792
11,0.9650790691375732,0.10342253744602203,0.001,0.9514145255088806,0.16970935463905334
12,0.9651755690574646,0.10354277491569519,0.001,0.9529520273208618,0.17115969955921173
13,0.9741832613945007,0.07675085216760635,0.00020000001,0.9695571660995483,0.12650123238563538
14,0.9763386845588684,0.07170797139406204,0.00020000001,0.9692496657371521,0.13045915961265564
15,0.9798935055732727,0.06108703464269638,0.00020000001,0.9695571660995483,0.12608776986598969
16,0.9799417853355408,0.06153075024485588,0.00020000001,0.9670971632003784,0.1373940110206604
17,0.980697751045227,0.059288110584020615,0.00020000001,0.9704797267913818,0.12611046433448792
18,0.9812929034233093,0.057110197842121124,0.00020000001,0.9686346650123596,0.1352258026599884
19,0.9817272424697876,0.05517794191837311,0.00020000001,0.9680196642875671,0.12918587028980255
20,0.9823545217514038,0.053487375378608704,4.0000003e-05,0.9701722264289856,0.12840324640274048
21,0.9832231402397156,0.04964417219161987,4.0000003e-05,0.9701722264289856,0.12723951041698456
22,0.984123945236206,0.04857775941491127,4.0000003e-05,0.9707872271537781,0.13019223511219025
23,0.984075665473938,0.04738418012857437,4.0000003e-05,0.9717097282409668,0.13021133840084076
24,0.9839791655540466,0.04885802045464516,8.000001e-06,0.9726322293281555,0.13282455503940582
25,0.9849442839622498,0.04662823677062988,8.000001e-06,0.9723247289657593,0.13274134695529938
26,0.9844295382499695,0.04702581465244293,8.000001e-06,0.9717097282409668,0.1326085478067398
27,0.9851050972938538,0.045448582619428635,8.000001e-06,0.9717097282409668,0.13272681832313538
28,0.9839469790458679,0.04879552498459816,1.6000001e-06,0.9717097282409668,0.13267970085144043
29,0.9843652248382568,0.047470495104789734,1.6000001e-06,0.9717097282409668,0.13261285424232483
30,0.9841078519821167,0.04834611341357231,1.6000001e-06,0.9714022278785706,0.13304895162582397
