epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7066293954849243,0.0010000000474974513,0.9843898415565491,0.6943005323410034,1.1891634464263916
1,0.8496317267417908,0.0010000000474974513,0.6179460883140564,0.8134714961051941,0.6797357797622681
2,0.8763017654418945,0.0010000000474974513,0.4728923738002777,0.7176165580749512,0.7434595227241516
3,0.901701807975769,0.0010000000474974513,0.3921898305416107,0.6943005323410034,0.7964544892311096
4,0.908305823802948,0.0010000000474974513,0.35643085837364197,0.6347150206565857,0.9076070785522461
5,0.926339864730835,0.0010000000474974513,0.3103972375392914,0.8626943230628967,0.33230021595954895
6,0.9347218871116638,0.0010000000474974513,0.26109805703163147,0.7253885865211487,0.7764113545417786
7,0.9441198706626892,0.0010000000474974513,0.22120168805122375,0.7927461266517639,0.49983447790145874
8,0.9433578848838806,0.0010000000474974513,0.19743946194648743,0.8134714961051941,0.5064876079559326
9,0.9563119411468506,0.0010000000474974513,0.17573584616184235,0.7953367829322815,0.5488566756248474
10,0.9481838941574097,0.0010000000474974513,0.17245881259441376,0.409326434135437,2.389822006225586
11,0.965455949306488,0.0005000000237487257,0.14087359607219696,0.8601036071777344,0.39884793758392334
12,0.9766319394111633,0.0005000000237487257,0.08686956763267517,0.8989637494087219,0.3130432069301605
13,0.978663980960846,0.0005000000237487257,0.07519587129354477,0.818652868270874,0.5725783705711365
14,0.981965959072113,0.0005000000237487257,0.0761164128780365,0.9326424598693848,0.20210158824920654
15,0.9817119836807251,0.0005000000237487257,0.06462403386831284,0.9274611473083496,0.21027888357639313
16,0.9847599864006042,0.0005000000237487257,0.06260102242231369,0.8341968655586243,0.46273234486579895
17,0.9852679967880249,0.0005000000237487257,0.05168095976114273,0.9041450619697571,0.24275581538677216
18,0.9839979410171509,0.0005000000237487257,0.05695903301239014,0.8419688940048218,0.5498893857002258
19,0.9832359552383423,0.0005000000237487257,0.06154852733016014,0.8704662919044495,0.3803693652153015
20,0.988315999507904,0.0002500000118743628,0.04737311601638794,0.9170984625816345,0.24668803811073303
21,0.9895859956741333,0.0002500000118743628,0.04372512176632881,0.9300518035888672,0.2295733243227005
22,0.9913640022277832,0.0002500000118743628,0.033057186752557755,0.9170984625816345,0.23754139244556427
23,0.9923799633979797,0.0002500000118743628,0.030081605538725853,0.9300518035888672,0.2136097103357315
24,0.9969519972801208,0.0002500000118743628,0.022725211456418037,0.9274611473083496,0.2175416499376297
