epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5593091249465942,1.2949306964874268,0.001,0.41450777649879456,1.4935888051986694
1,0.775971531867981,0.8428773283958435,0.001,0.7590673565864563,0.8214443325996399
2,0.8107696175575256,0.7310084104537964,0.001,0.7927461266517639,0.6454655528068542
3,0.8519176840782166,0.5933010578155518,0.001,0.8393782377243042,0.4981677234172821
4,0.8884937763214111,0.5238198041915894,0.001,0.8471502661705017,0.532868504524231
5,0.8757937550544739,0.5156892538070679,0.001,0.8523315787315369,0.4548441469669342
6,0.9014478325843811,0.42294538021087646,0.001,0.8005181550979614,0.5337103009223938
7,0.9331978559494019,0.3266945481300354,0.001,0.8911917209625244,0.3221960663795471
8,0.9316738843917847,0.29267141222953796,0.001,0.8860103487968445,0.3460068106651306
9,0.9474219083786011,0.27933210134506226,0.001,0.8989637494087219,0.36285728216171265
10,0.9509779214859009,0.206609845161438,0.001,0.9119170904159546,0.2691561281681061
11,0.9555498957633972,0.18937300145626068,0.001,0.5880829095840454,1.8255045413970947
12,0.9662179350852966,0.17759710550308228,0.001,0.8601036071777344,0.4517497718334198
13,0.9189738631248474,0.32635265588760376,0.001,0.8316062092781067,0.5104377865791321
14,0.9380238652229309,0.2723669409751892,0.001,0.924870491027832,0.22073689103126526
15,0.947675883769989,0.2306116223335266,0.001,0.8963730335235596,0.33771660923957825
16,0.9662179350852966,0.16561447083950043,0.001,0.9326424598693848,0.21516072750091553
17,0.9766319394111633,0.12299355864524841,0.001,0.9222797751426697,0.2604236602783203
18,0.9784099459648132,0.10085996985435486,0.001,0.9430052042007446,0.2432212233543396
19,0.9748539328575134,0.12166180461645126,0.001,0.9145077466964722,0.32570183277130127
20,0.9794259667396545,0.10439998656511307,0.001,0.9067357778549194,0.3191664218902588
21,0.9812039732933044,0.09812942892313004,0.001,0.9430052042007446,0.208804652094841
22,0.988315999507904,0.05936916545033455,0.001,0.9455958604812622,0.2335134893655777
23,0.9822199940681458,0.08749506622552872,0.001,0.9378238320350647,0.2159857153892517
24,0.9860299825668335,0.06669524312019348,0.001,0.9041450619697571,0.30560439825057983
25,0.9761239290237427,0.0917118638753891,0.001,0.9326424598693848,0.21819402277469635
26,0.9842519760131836,0.06866131722927094,0.001,0.9300518035888672,0.3144102394580841
27,0.9911099672317505,0.04846850782632828,0.0005,0.9300518035888672,0.3063851594924927
28,0.9928879737854004,0.03733367100358009,0.0005,0.9507771730422974,0.27369415760040283
29,0.9923799633979797,0.049691349267959595,0.0005,0.9404144883155823,0.24012847244739532
30,0.993649959564209,0.024553071707487106,0.0005,0.9378238320350647,0.27542978525161743
31,0.9974600076675415,0.013257545419037342,0.0005,0.9404144883155823,0.28113824129104614
