epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6178105473518372,1.2320852279663086,0.001,0.4896373152732849,1.5372262001037598
1,0.6179313659667969,1.4663124084472656,0.001,0.5595855116844177,1.179491400718689
2,0.7438375949859619,0.8417187333106995,0.001,0.696891188621521,1.0027297735214233
3,0.8071532249450684,0.6608238816261292,0.001,0.8108808398246765,0.6986512541770935
4,0.8417109847068787,0.547480046749115,0.001,0.787564754486084,0.8469283580780029
5,0.8659980893135071,0.4423545300960541,0.001,0.7253885865211487,1.1500756740570068
6,0.8720396161079407,0.44675350189208984,0.001,0.818652868270874,0.6965319514274597
7,0.8947558999061584,0.356333464384079,0.001,0.8367875814437866,0.7291507124900818
8,0.9030932784080505,0.31722506880760193,0.001,0.8367875814437866,0.6049073934555054
9,0.9264137148857117,0.2445911467075348,0.001,0.8549222946166992,0.49107086658477783
10,0.9221846461296082,0.24075791239738464,0.001,0.8238341808319092,0.7068679332733154
11,0.9345093965530396,0.21798491477966309,0.001,0.8704662919044495,0.5575450658798218
12,0.9378926753997803,0.20154140889644623,0.001,0.8497409224510193,0.6313078999519348
13,0.9406718015670776,0.18868060410022736,0.001,0.8704662919044495,0.6182395219802856
14,0.9527549743652344,0.15065257251262665,0.001,0.8419688940048218,0.713351845741272
