epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.877767026424408,0.0010000000474974513,0.35345718264579773,0.9221484661102295,0.2393520325422287
1,0.964346170425415,0.0010000000474974513,0.11777821183204651,0.9064574241638184,0.34626585245132446
2,0.9777730703353882,0.0010000000474974513,0.07551144063472748,0.9752565026283264,0.0923907607793808
3,0.9835490584373474,0.0010000000474974513,0.05280403420329094,0.9692214727401733,0.12865599989891052
4,0.9865731000900269,0.0010000000474974513,0.046066612005233765,0.9583584666252136,0.15902528166770935
5,0.988780677318573,0.0010000000474974513,0.03882506489753723,0.9607724547386169,0.17834146320819855
6,0.989476203918457,0.0010000000474974513,0.03543732315301895,0.9662039875984192,0.1328796148300171
7,0.9918047785758972,0.0010000000474974513,0.02801954746246338,0.9662039875984192,0.14278654754161835
8,0.9964013695716858,0.0005000000237487257,0.012640228495001793,0.9740495085716248,0.13289156556129456
9,0.9964920878410339,0.0005000000237487257,0.011936924420297146,0.9764634966850281,0.1319042444229126
10,0.9966130256652832,0.0005000000237487257,0.011687069199979305,0.9782739877700806,0.1340363323688507
11,0.9968549609184265,0.0005000000237487257,0.012344598770141602,0.9800844788551331,0.11906496435403824
12,0.9976109862327576,0.0005000000237487257,0.008617235347628593,0.9728425145149231,0.15852990746498108
