epoch,accuracy,balanced_accuracy,loss,lr,val_accuracy,val_balanced_accuracy,val_loss
0,0.31750062108039856,0.2721928656101227,1.5698481798171997,0.001,0.23056994378566742,0.29880866408348083,1.5732145309448242
1,0.34010666608810425,0.31498804688453674,1.5174094438552856,0.001,0.2668393850326538,0.3501059114933014,1.5726279020309448
2,0.3792227506637573,0.3450965881347656,1.4732767343521118,0.001,0.31865283846855164,0.37549397349357605,1.4995454549789429
3,0.4470408856868744,0.38649797439575195,1.4014058113098145,0.001,0.2409326434135437,0.3226316571235657,1.5438566207885742
4,0.5214630365371704,0.430429071187973,1.2990831136703491,0.001,0.4896373152732849,0.4887463450431824,1.3072680234909058
5,0.6527813076972961,0.5319721102714539,1.054503321647644,0.001,0.4818652868270874,0.6044336557388306,1.1673518419265747
6,0.7208534479141235,0.5959110260009766,0.9300348162651062,0.001,0.43523314595222473,0.5585440993309021,1.2171156406402588
7,0.7724155187606812,0.6500908136367798,0.7907511591911316,0.001,0.7150259017944336,0.677182137966156,0.8956335783004761
8,0.7995936274528503,0.701144278049469,0.7088874578475952,0.001,0.6761658191680908,0.7234328985214233,0.9790583252906799
9,0.8158496022224426,0.7158018350601196,0.6681849360466003,0.001,0.7072538733482361,0.7540774941444397,0.8262208700180054
10,0.8422656655311584,0.7515201568603516,0.5873547196388245,0.001,0.6683937907218933,0.7743737101554871,0.8073197603225708
11,0.8620777130126953,0.7865933775901794,0.5455025434494019,0.001,0.6373056769371033,0.7665124535560608,0.7681728005409241
12,0.8666497468948364,0.8045026659965515,0.494613915681839,0.001,0.7357512712478638,0.7954593896865845,0.6439377665519714
13,0.8983997702598572,0.8465942144393921,0.41226306557655334,0.001,0.8082901835441589,0.8227400779724121,0.5149756669998169
14,0.9210058450698853,0.8823917508125305,0.3627561330795288,0.001,0.8056994676589966,0.826343834400177,0.5357222557067871
15,0.9174498319625854,0.8699636459350586,0.3509065508842468,0.001,0.8626943230628967,0.8292032480239868,0.47740641236305237
16,0.9265938401222229,0.8894498944282532,0.32358354330062866,0.001,0.8989637494087219,0.867916464805603,0.3454786241054535
17,0.9413259029388428,0.9146125912666321,0.2449585199356079,0.001,0.8730570077896118,0.8509939312934875,0.37173643708229065
18,0.9555498957633972,0.9266644716262817,0.20438693463802338,0.001,0.8471502661705017,0.8738986849784851,0.44020670652389526
19,0.9497079253196716,0.9331592321395874,0.2089247703552246,0.001,0.8626943230628967,0.8684466481208801,0.4924362003803253
20,0.9697739481925964,0.9544686079025269,0.1540653109550476,0.001,0.8471502661705017,0.8788323402404785,0.49249544739723206
21,0.9781559705734253,0.9647296667098999,0.11930273473262787,0.001,0.9196891188621521,0.8907941579818726,0.3192277252674103
22,0.9751079678535461,0.9604169726371765,0.11744265258312225,0.001,0.8834196925163269,0.8597202301025391,0.36479929089546204
23,0.976885974407196,0.9700174331665039,0.10633315145969391,0.001,0.8886010646820068,0.8715921640396118,0.42503899335861206
24,0.9707899689674377,0.9633760452270508,0.11815448850393295,0.001,0.8963730335235596,0.8501110076904297,0.39145803451538086
25,0.9781559705734253,0.9689310789108276,0.0877968966960907,0.001,0.924870491027832,0.8790284395217896,0.3017551302909851
26,0.9860299825668335,0.9815132021903992,0.06687179207801819,0.001,0.9041450619697571,0.874123215675354,0.3934720754623413
27,0.9801879525184631,0.9704263806343079,0.08302795141935349,0.001,0.8860103487968445,0.8755243420600891,0.5065931081771851
28,0.9789179563522339,0.9636958241462708,0.10685490071773529,0.001,0.9196891188621521,0.8960529565811157,0.3590797483921051
29,0.9763779640197754,0.9703547358512878,0.10108558088541031,0.001,0.9326424598693848,0.9149866104125977,0.33211275935173035
30,0.9753619432449341,0.9625502824783325,0.11603746563196182,0.001,0.9170984625816345,0.886043906211853,0.2962389290332794
31,0.9911099672317505,0.9891953468322754,0.03981557488441467,0.001,0.9326424598693848,0.9059282541275024,0.27068188786506653
32,0.993649959564209,0.9934350848197937,0.025965239852666855,0.001,0.924870491027832,0.8935096859931946,0.35332638025283813
33,0.9959359765052795,0.9961570501327515,0.02031371369957924,0.001,0.9222797751426697,0.894607663154602,0.36341509222984314
34,0.9959359765052795,0.996059238910675,0.019968189299106598,0.001,0.9067357778549194,0.8938060998916626,0.4585174322128296
35,0.9893319606781006,0.9885565042495728,0.04267197847366333,0.001,0.9326424598693848,0.9029639959335327,0.38728660345077515
36,0.9809499382972717,0.9772578477859497,0.10062982887029648,0.001,0.893782377243042,0.8524400591850281,0.45770010352134705
37,0.9806959629058838,0.9781482815742493,0.08307677507400513,0.0005,0.9170984625816345,0.8881078958511353,0.39971280097961426
38,0.9941579699516296,0.9933125376701355,0.024837832897901535,0.0005,0.9326424598693848,0.9118970632553101,0.34526416659355164
39,0.9969519972801208,0.996782660484314,0.015235133469104767,0.0005,0.9326424598693848,0.9091288447380066,0.32039910554885864
40,0.9979680180549622,0.9979003667831421,0.011442714370787144,0.0005,0.9378238320350647,0.912869930267334,0.33845239877700806
41,0.9979680180549622,0.9984029531478882,0.009583985432982445,0.0005,0.9326424598693848,0.9077335596084595,0.33830100297927856
