epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5629453659057617,1.0673960447311401,0.001,0.12435232847929001,5.749664306640625
1,0.5123332738876343,1.3821213245391846,0.001,0.16839377582073212,1.9299942255020142
2,0.6517449021339417,0.8846747875213623,0.001,0.19948185980319977,2.232917308807373
3,0.7522382736206055,0.6910223364830017,0.001,0.40673574805259705,1.477878451347351
4,0.8213045597076416,0.5431929230690002,0.001,0.6113989353179932,1.4363012313842773
5,0.861501932144165,0.4538693428039551,0.001,0.727979302406311,0.8505339026451111
6,0.9024301171302795,0.3163958191871643,0.001,0.7046632170677185,0.9269065856933594
7,0.9159510135650635,0.28786733746528625,0.001,0.8471502661705017,0.5153979659080505
8,0.9515804648399353,0.16195562481880188,0.001,0.878238320350647,0.43702641129493713
9,0.9548693299293518,0.15260502696037292,0.001,0.8419688940048218,0.6176690459251404
10,0.9629088044166565,0.12410038709640503,0.001,0.8575129508972168,0.5676984190940857
11,0.9682075381278992,0.11004363000392914,0.001,0.7797927260398865,0.9225188493728638
12,0.9727754592895508,0.0975649282336235,0.001,0.9119170904159546,0.382139652967453
13,0.9811803102493286,0.06322947144508362,0.001,0.9067357778549194,0.46058011054992676
14,0.9830074906349182,0.05771917849779129,0.001,0.8367875814437866,0.5877019166946411
15,0.9634569883346558,0.12756463885307312,0.001,0.8626943230628967,0.696583092212677
16,0.9756988883018494,0.0853937566280365,0.001,0.9067357778549194,0.4098435640335083
17,0.9862963557243347,0.04565168544650078,0.001,0.8652849793434143,0.6134029030799866
18,0.9895852208137512,0.036920301616191864,0.0005,0.9481865167617798,0.2949955463409424
19,0.9978074431419373,0.015610184520483017,0.0005,0.9404144883155823,0.2985517978668213
20,0.9968938231468201,0.011957514099776745,0.0005,0.9455958604812622,0.324655681848526
21,0.9992691278457642,0.007329673506319523,0.0005,0.9455958604812622,0.3223330080509186
22,0.9990864396095276,0.006997481919825077,0.0005,0.9404144883155823,0.34205102920532227
23,0.9987210035324097,0.008331515826284885,0.0005,0.9274611473083496,0.45983704924583435
24,0.9981728196144104,0.009758188389241695,0.00025,0.9404144883155823,0.3656162917613983
25,0.9994518756866455,0.006473849527537823,0.00025,0.9455958604812622,0.35158875584602356
26,0.9998173117637634,0.0044858017936348915,0.00025,0.9430052042007446,0.34512048959732056
27,0.9990864396095276,0.005000785458832979,0.00025,0.9404144883155823,0.38141652941703796
28,0.9996345639228821,0.004664307925850153,0.00025,0.9430052042007446,0.37166938185691833
