epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8720342516899109,0.4181421101093292,0.001,0.7003994584083557,0.7736966013908386
1,0.9216906428337097,0.24617688357830048,0.001,0.7003994584083557,0.8538293242454529
2,0.9402307868003845,0.19121742248535156,0.001,0.8828229308128357,0.409628301858902
3,0.9482691287994385,0.1620711237192154,0.001,0.9187749624252319,0.22659938037395477
4,0.9560482501983643,0.14321684837341309,0.001,0.889480710029602,0.3024595379829407
5,0.960456371307373,0.1284777820110321,0.001,0.7097203731536865,0.9954532980918884
6,0.9626604318618774,0.12273915112018585,0.001,0.9027962684631348,0.26955699920654297
7,0.9678465127944946,0.10078965872526169,0.001,0.853528618812561,0.4651229977607727
8,0.9710877537727356,0.09138107299804688,0.001,0.9174433946609497,0.25724706053733826
9,0.9817191958427429,0.06134940683841705,0.0005,0.9347536563873291,0.21860529482364655
10,0.9835342764854431,0.052896227687597275,0.0005,0.9121171832084656,0.26375702023506165
11,0.9857383370399475,0.04655120149254799,0.0005,0.929427444934845,0.24458007514476776
12,0.9884610176086426,0.03911329060792923,0.0005,0.8854860067367554,0.3554094135761261
13,0.9854790568351746,0.04290783032774925,0.0005,0.9307590126991272,0.21358570456504822
14,0.9883313775062561,0.03866938501596451,0.0005,0.9027962684631348,0.3510630130767822
15,0.9889796376228333,0.03321802243590355,0.0005,0.9201065301895142,0.3391929566860199
16,0.9905354380607605,0.03382570296525955,0.0005,0.8002663254737854,0.8515257835388184
17,0.9928691983222961,0.025463657453656197,0.0005,0.9360852241516113,0.21564123034477234
18,0.993387758731842,0.02214588038623333,0.0005,0.9347536563873291,0.22206804156303406
19,0.9937767386436462,0.02051350474357605,0.00025,0.9054594039916992,0.37279579043388367
20,0.9972773194313049,0.014706832356750965,0.00025,0.9267643094062805,0.23709999024868011
21,0.9966290593147278,0.013185260817408562,0.00025,0.8948069214820862,0.447015643119812
22,0.9980552196502686,0.009977888315916061,0.00025,0.9374167919158936,0.23326092958450317
23,0.9983145594596863,0.008199024945497513,0.00025,0.9347536563873291,0.2508081793785095
